customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_sum,segment,churn_risk,priority_score
C100004,468,1,7502,3,1,5,9,Potential,high,45
C100005,6,1,2400.68,5,1,4,10,Potential,low,52.5
C100261,117,1,4801.28,5,1,4,10,Potential,medium,52.5
C100301,559,1,15.15,2,1,1,4,Lost,high,7.5
C100306,629,1,26250,2,1,5,8,Lost,high,37.5
C100329,168,1,20.92,4,1,1,6,Potential,medium,22.5
C100330,234,1,322.56,4,1,3,8,Potential,high,37.5
C100404,315,1,47.07,3,1,1,5,Potential,high,15
C100451,587,1,9602.72,2,1,5,8,Lost,high,37.5
C100496,276,1,2400.68,4,1,4,9,Potential,high,45
C100540,397,1,20.92,3,1,1,5,Potential,high,15
C100561,45,1,9602.72,5,1,5,11,Potential,low,60
C100606,266,1,4801.28,4,1,4,9,Potential,high,45
C100651,392,1,1050,3,1,3,7,Potential,high,30
C100672,296,1,7502,4,1,5,10,Potential,high,52.5
C100840,460,1,4801.28,3,1,4,8,Potential,high,37.5
C100900,489,1,162.64,2,1,2,5,Lost,high,15
C100935,374,1,4801.28,3,1,4,8,Potential,high,37.5
C100952,223,1,2700.72,4,1,4,9,Potential,high,45
C101027,723,1,5.23,1,1,1,3,Lost,high,0
C101131,139,1,322.56,5,1,3,9,Potential,medium,45
C101173,174,1,162.64,4,1,2,7,Potential,medium,30
C101205,125,1,4801.28,5,1,4,10,Potential,medium,52.5
C101206,541,1,46.92,2,1,1,4,Lost,high,7.5
C101225,135,1,2400.68,5,1,4,10,Potential,medium,52.5
C101253,42,1,7502,5,1,5,11,Potential,low,60
C101278,49,1,2700.72,5,1,4,10,Potential,low,52.5
C101314,516,1,1016.5,2,1,3,6,Lost,high,22.5
C101384,491,1,1200.32,2,1,4,7,Lost,high,30
C101411,545,1,1016.5,2,1,3,6,Lost,high,22.5
C101471,684,1,322.56,1,1,3,5,Lost,high,15
C101489,47,1,300.08,5,1,2,8,Potential,low,37.5
C101508,224,1,4801.28,4,1,4,9,Potential,high,45
C101529,44,1,365.94,5,1,3,9,Potential,low,45
C101651,83,1,650.56,5,1,3,9,Potential,low,45
C101657,303,1,143.36,4,1,2,7,Potential,high,30
C101662,281,1,9450,4,1,5,10,Potential,high,52.5
C101669,691,1,1016.5,1,1,3,5,Lost,high,15
C101839,596,1,40.66,2,1,1,4,Lost,high,7.5
C101875,548,1,5.23,2,1,1,4,Lost,high,7.5
C101924,627,1,1200.32,2,1,4,7,Lost,high,30
C102007,123,1,365.94,5,1,3,9,Potential,medium,45
C102061,524,1,130.75,2,1,2,5,Lost,high,15
C102084,27,1,2400.68,5,1,4,10,Potential,low,52.5
C102103,166,1,7502,4,1,5,10,Potential,medium,52.5
C102114,349,1,300.08,3,1,2,6,Potential,high,22.5
C102204,177,1,573.44,4,1,3,8,Potential,medium,37.5
C102213,209,1,322.56,4,1,3,8,Potential,high,37.5
C102229,573,1,16800,2,1,5,8,Lost,high,37.5
C102286,682,1,7502,1,1,5,7,Lost,high,30
C102303,327,1,40.66,3,1,1,5,Potential,high,15
C102332,261,1,322.56,4,1,3,8,Potential,high,37.5
C102341,552,1,4801.28,2,1,4,7,Lost,high,30
C102353,77,1,650.56,5,1,3,9,Potential,low,45
C102426,283,1,2700.72,4,1,4,9,Potential,high,45
C102503,143,1,7502,5,1,5,11,Potential,medium,60
C102621,283,1,20.92,4,1,1,6,Potential,high,22.5
C102708,384,1,573.44,3,1,3,7,Potential,high,30
C102775,318,1,1016.5,3,1,3,7,Potential,high,30
C102829,606,1,4801.28,2,1,4,7,Lost,high,30
C102868,664,1,7502,1,1,5,7,Lost,high,30
C102995,119,1,5.23,5,1,1,7,Potential,medium,30
C103126,257,1,187.68,4,1,2,7,Potential,high,30
C103175,754,1,300.08,1,1,2,4,Lost,high,7.5
C103321,781,1,1050,1,1,3,5,Lost,high,15
C103328,60,1,15004.25,5,1,5,11,Potential,low,60
C103388,559,1,187.68,2,1,2,5,Lost,high,15
C103503,149,1,35.84,5,1,1,7,Potential,medium,30
C103521,215,1,143.36,4,1,2,7,Potential,high,30
C103532,678,1,11.73,1,1,1,3,Lost,high,0
C103558,312,1,187.68,3,1,2,6,Potential,high,22.5
C103638,329,1,9602.72,3,1,5,9,Potential,high,45
C103768,790,1,2700.72,1,1,4,6,Lost,high,22.5
C103863,744,1,15004.25,1,1,5,7,Lost,high,30
C103933,58,1,9450,5,1,5,11,Potential,low,60
C103944,617,1,2700.72,2,1,4,7,Lost,high,30
C104052,515,1,300.08,2,1,2,5,Lost,high,15
C104117,787,1,105.57,1,1,2,4,Lost,high,7.5
C104165,684,1,300.08,1,1,2,4,Lost,high,7.5
C104169,261,1,300.08,4,1,2,7,Potential,high,30
C104184,172,1,365.94,4,1,3,8,Potential,medium,37.5
C104319,545,1,162.64,2,1,2,5,Lost,high,15
C104426,698,1,2700.72,1,1,4,6,Lost,high,22.5
C104612,273,1,4801.28,4,1,4,9,Potential,high,45
C104688,261,1,47.07,4,1,1,6,Potential,high,22.5
C104815,481,1,573.44,2,1,3,6,Lost,high,22.5
C104845,350,1,896,3,1,3,7,Potential,high,30
C104877,53,1,4200,5,1,4,10,Potential,low,52.5
C104902,322,1,1050,3,1,3,7,Potential,high,30
C104990,161,1,4200,4,1,4,9,Potential,medium,45
C104994,268,1,365.94,4,1,3,8,Potential,high,37.5
C105094,747,1,15.15,1,1,1,3,Lost,high,0
C105232,405,1,5.23,3,1,1,5,Potential,high,15
C105241,540,1,650.56,2,1,3,6,Lost,high,22.5
C105312,762,1,15004.25,1,1,5,7,Lost,high,30
C105319,163,1,293.25,4,1,2,7,Potential,medium,30
C105438,144,1,300.08,5,1,2,8,Potential,medium,37.5
C105553,340,1,4801.28,3,1,4,8,Potential,high,37.5
C105655,40,1,1200.32,5,1,4,10,Potential,low,52.5
C105781,472,1,1050,3,1,3,7,Potential,high,30
C105783,725,1,9602.72,1,1,5,7,Lost,high,30
C105788,241,1,573.44,4,1,3,8,Potential,high,37.5
C105844,618,1,1200.32,2,1,4,7,Lost,high,30
C105847,25,1,1200.32,5,1,4,10,Potential,low,52.5
C105864,563,1,1050,2,1,3,6,Lost,high,22.5
C105882,21,1,105.57,5,1,2,8,Potential,low,37.5
C105923,631,1,4801.28,2,1,4,7,Lost,high,30
C105982,122,1,2700.72,5,1,4,10,Potential,medium,52.5
C105991,379,1,4801.28,3,1,4,8,Potential,high,37.5
C106004,423,1,573.44,3,1,3,7,Potential,high,30
C106033,503,1,5401.53,2,1,5,8,Lost,high,37.5
C106056,184,1,600.17,4,1,3,8,Potential,high,37.5
C106061,527,1,2700.72,2,1,4,7,Lost,high,30
C106108,397,1,130.75,3,1,2,6,Potential,high,22.5
C106139,262,1,40.66,4,1,1,6,Potential,high,22.5
C106218,248,1,378.75,4,1,3,8,Potential,high,37.5
C106280,132,1,4200,5,1,4,10,Potential,medium,52.5
C106383,430,1,5.23,3,1,1,5,Potential,high,15
C106392,580,1,896,2,1,3,6,Lost,high,22.5
C106397,456,1,322.56,3,1,3,7,Potential,high,30
C106414,740,1,300.08,1,1,2,4,Lost,high,7.5
C106464,716,1,162.64,1,1,2,4,Lost,high,7.5
C106511,102,1,2700.72,5,1,4,10,Potential,medium,52.5
C106608,764,1,47.07,1,1,1,3,Lost,high,0
C106652,439,1,2700.72,3,1,4,8,Potential,high,37.5
C106669,625,1,242.4,2,1,2,5,Lost,high,15
C106730,166,1,5.23,4,1,1,6,Potential,medium,22.5
C106742,121,1,650.56,5,1,3,9,Potential,medium,45
C106844,364,1,7502,3,1,5,9,Potential,high,45
C106887,699,1,2700.72,1,1,4,6,Lost,high,22.5
C106947,469,1,2700.72,3,1,4,8,Potential,high,37.5
C107080,110,1,650.56,5,1,3,9,Potential,medium,45
C107188,658,1,60.6,1,1,1,3,Lost,high,0
C107314,272,1,322.56,4,1,3,8,Potential,high,37.5
C107467,797,1,1016.5,1,1,3,5,Lost,high,15
C107516,762,1,4801.28,1,1,4,6,Lost,high,22.5
C107735,608,1,7502,2,1,5,8,Lost,high,37.5
C107890,320,1,1200.32,3,1,4,8,Potential,high,37.5
C107911,674,1,7502,1,1,5,7,Lost,high,30
C107997,523,1,378.75,2,1,3,6,Lost,high,22.5
C108056,185,1,650.56,4,1,3,8,Potential,high,37.5
C108108,96,1,5401.53,5,1,5,11,Potential,medium,60
C108111,380,1,83.68,3,1,1,5,Potential,high,15
C108336,544,1,9450,2,1,5,8,Lost,high,37.5
C108392,462,1,2700.72,3,1,4,8,Potential,high,37.5
C108469,298,1,1016.5,4,1,3,8,Potential,high,37.5
C108563,796,1,1050,1,1,3,5,Lost,high,15
C108625,547,1,896,2,1,3,6,Lost,high,22.5
C108631,647,1,60.6,1,1,1,3,Lost,high,0
C108702,744,1,9602.72,1,1,5,7,Lost,high,30
C108720,475,1,242.4,3,1,2,6,Potential,high,22.5
C108785,156,1,60.6,5,1,1,7,Potential,medium,30
C108815,505,1,7502,2,1,5,8,Lost,high,37.5
C108858,273,1,7502,4,1,5,10,Potential,high,52.5
C108888,187,1,300.08,4,1,2,7,Potential,high,30
C108902,558,1,26250,2,1,5,8,Lost,high,37.5
C108951,314,1,1016.5,3,1,3,7,Potential,high,30
C109025,537,1,20.92,2,1,1,4,Lost,high,7.5
C109043,396,1,1200.32,3,1,4,8,Potential,high,37.5
C109086,295,1,650.56,4,1,3,8,Potential,high,37.5
C109118,478,1,47.07,2,1,1,4,Lost,high,7.5
C109140,344,1,40.66,3,1,1,5,Potential,high,15
C109230,301,1,15004.25,4,1,5,10,Potential,high,52.5
C109264,23,1,2700.72,5,1,4,10,Potential,low,52.5
C109294,12,1,40.66,5,1,1,7,Potential,low,30
C109312,463,1,2700.72,3,1,4,8,Potential,high,37.5
C109314,439,1,5.23,3,1,1,5,Potential,high,15
C109372,304,1,1200.32,4,1,4,9,Potential,high,45
C109455,795,1,26250,1,1,5,7,Lost,high,30
C109482,280,1,20.92,4,1,1,6,Potential,high,22.5
C109484,639,1,162.64,2,1,2,5,Lost,high,15
C109519,284,1,4801.28,4,1,4,9,Potential,high,45
C109544,226,1,322.56,4,1,3,8,Potential,high,37.5
C109553,489,1,11.73,2,1,1,4,Lost,high,7.5
C109621,542,1,2700.72,2,1,4,7,Lost,high,30
C109814,291,1,300.08,4,1,2,7,Potential,high,30
C109887,224,1,1016.5,4,1,3,8,Potential,high,37.5
