customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_sum,segment
C100004,468,1,7502.0,3,1,5,315,9,Potential
C100005,6,1,2400.68,5,1,4,514,10,Potential
C100261,117,1,4801.28,5,1,4,514,10,Potential
C100301,559,1,15.15,2,1,1,211,4,Lost
C100306,629,1,26250.0,2,1,5,215,8,Lost
C100329,168,1,20.92,4,1,1,411,6,Potential
C100330,234,1,322.56,4,1,3,413,8,Potential
C100404,315,1,47.07,3,1,1,311,5,Potential
C100451,587,1,9602.72,2,1,5,215,8,Lost
C100496,276,1,2400.68,4,1,4,414,9,Potential
C100540,397,1,20.92,3,1,1,311,5,Potential
C100561,45,1,9602.72,5,1,5,515,11,Potential
C100606,266,1,4801.28,4,1,4,414,9,Potential
C100651,392,1,1050.0,3,1,3,313,7,Potential
C100672,296,1,7502.0,4,1,5,415,10,Potential
C100840,460,1,4801.28,3,1,4,314,8,Potential
C100900,489,1,162.64,2,1,2,212,5,Lost
C100935,374,1,4801.28,3,1,4,314,8,Potential
C100952,223,1,2700.7200000000003,4,1,4,414,9,Potential
C101027,723,1,5.23,1,1,1,111,3,Lost
C101131,139,1,322.56,5,1,3,513,9,Potential
C101173,174,1,162.64,4,1,2,412,7,Potential
C101205,125,1,4801.28,5,1,4,514,10,Potential
C101206,541,1,46.92,2,1,1,211,4,Lost
C101225,135,1,2400.68,5,1,4,514,10,Potential
C101253,42,1,7502.0,5,1,5,515,11,Potential
C101278,49,1,2700.7200000000003,5,1,4,514,10,Potential
C101314,516,1,1016.5,2,1,3,213,6,Lost
C101384,491,1,1200.32,2,1,4,214,7,Lost
C101411,545,1,1016.5,2,1,3,213,6,Lost
C101471,684,1,322.56,1,1,3,113,5,Lost
C101489,47,1,300.08,5,1,2,512,8,Potential
C101508,224,1,4801.28,4,1,4,414,9,Potential
C101529,44,1,365.94,5,1,3,513,9,Potential
C101651,83,1,650.56,5,1,3,513,9,Potential
C101657,303,1,143.36,4,1,2,412,7,Potential
C101662,281,1,9450.0,4,1,5,415,10,Potential
C101669,691,1,1016.5,1,1,3,113,5,Lost
C101839,596,1,40.66,2,1,1,211,4,Lost
C101875,548,1,5.23,2,1,1,211,4,Lost
C101924,627,1,1200.32,2,1,4,214,7,Lost
C102007,123,1,365.94,5,1,3,513,9,Potential
C102061,524,1,130.75,2,1,2,212,5,Lost
C102084,27,1,2400.68,5,1,4,514,10,Potential
C102103,166,1,7502.0,4,1,5,415,10,Potential
C102114,349,1,300.08,3,1,2,312,6,Potential
C102204,177,1,573.44,4,1,3,413,8,Potential
C102213,209,1,322.56,4,1,3,413,8,Potential
C102229,573,1,16800.0,2,1,5,215,8,Lost
C102286,682,1,7502.0,1,1,5,115,7,Lost
C102303,327,1,40.66,3,1,1,311,5,Potential
C102332,261,1,322.56,4,1,3,413,8,Potential
C102341,552,1,4801.28,2,1,4,214,7,Lost
C102353,77,1,650.56,5,1,3,513,9,Potential
C102426,283,1,2700.7200000000003,4,1,4,414,9,Potential
C102503,143,1,7502.0,5,1,5,515,11,Potential
C102621,283,1,20.92,4,1,1,411,6,Potential
C102708,384,1,573.44,3,1,3,313,7,Potential
C102775,318,1,1016.5,3,1,3,313,7,Potential
C102829,606,1,4801.28,2,1,4,214,7,Lost
C102868,664,1,7502.0,1,1,5,115,7,Lost
C102995,119,1,5.23,5,1,1,511,7,Potential
C103126,257,1,187.68,4,1,2,412,7,Potential
C103175,754,1,300.08,1,1,2,112,4,Lost
C103321,781,1,1050.0,1,1,3,113,5,Lost
C103328,60,1,15004.25,5,1,5,515,11,Potential
C103388,559,1,187.68,2,1,2,212,5,Lost
C103503,149,1,35.84,5,1,1,511,7,Potential
C103521,215,1,143.36,4,1,2,412,7,Potential
C103532,678,1,11.73,1,1,1,111,3,Lost
C103558,312,1,187.68,3,1,2,312,6,Potential
C103638,329,1,9602.72,3,1,5,315,9,Potential
C103768,790,1,2700.7200000000003,1,1,4,114,6,Lost
C103863,744,1,15004.25,1,1,5,115,7,Lost
C103933,58,1,9450.0,5,1,5,515,11,Potential
C103944,617,1,2700.7200000000003,2,1,4,214,7,Lost
C104052,515,1,300.08,2,1,2,212,5,Lost
C104117,787,1,105.57,1,1,2,112,4,Lost
C104165,684,1,300.08,1,1,2,112,4,Lost
C104169,261,1,300.08,4,1,2,412,7,Potential
C104184,172,1,365.94,4,1,3,413,8,Potential
C104319,545,1,162.64,2,1,2,212,5,Lost
C104426,698,1,2700.7200000000003,1,1,4,114,6,Lost
C104612,273,1,4801.28,4,1,4,414,9,Potential
C104688,261,1,47.07,4,1,1,411,6,Potential
C104815,481,1,573.44,2,1,3,213,6,Lost
C104845,350,1,896.0,3,1,3,313,7,Potential
C104877,53,1,4200.0,5,1,4,514,10,Potential
C104902,322,1,1050.0,3,1,3,313,7,Potential
C104990,161,1,4200.0,4,1,4,414,9,Potential
C104994,268,1,365.94,4,1,3,413,8,Potential
C105094,747,1,15.15,1,1,1,111,3,Lost
C105232,405,1,5.23,3,1,1,311,5,Potential
C105241,540,1,650.56,2,1,3,213,6,Lost
C105312,762,1,15004.25,1,1,5,115,7,Lost
C105319,163,1,293.25,4,1,2,412,7,Potential
C105438,144,1,300.08,5,1,2,512,8,Potential
C105553,340,1,4801.28,3,1,4,314,8,Potential
C105655,40,1,1200.32,5,1,4,514,10,Potential
C105781,472,1,1050.0,3,1,3,313,7,Potential
C105783,725,1,9602.72,1,1,5,115,7,Lost
C105788,241,1,573.44,4,1,3,413,8,Potential
C105844,618,1,1200.32,2,1,4,214,7,Lost
C105847,25,1,1200.32,5,1,4,514,10,Potential
C105864,563,1,1050.0,2,1,3,213,6,Lost
C105882,21,1,105.57,5,1,2,512,8,Potential
C105923,631,1,4801.28,2,1,4,214,7,Lost
C105982,122,1,2700.7200000000003,5,1,4,514,10,Potential
C105991,379,1,4801.28,3,1,4,314,8,Potential
C106004,423,1,573.44,3,1,3,313,7,Potential
C106033,503,1,5401.53,2,1,5,215,8,Lost
C106056,184,1,600.17,4,1,3,413,8,Potential
C106061,527,1,2700.7200000000003,2,1,4,214,7,Lost
C106108,397,1,130.75,3,1,2,312,6,Potential
C106139,262,1,40.66,4,1,1,411,6,Potential
C106218,248,1,378.75,4,1,3,413,8,Potential
C106280,132,1,4200.0,5,1,4,514,10,Potential
C106383,430,1,5.23,3,1,1,311,5,Potential
C106392,580,1,896.0,2,1,3,213,6,Lost
C106397,456,1,322.56,3,1,3,313,7,Potential
C106414,740,1,300.08,1,1,2,112,4,Lost
C106464,716,1,162.64,1,1,2,112,4,Lost
